contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
ah pardon	1	0	1	c'
ça peut	1	0	0	v
ce petit	2	2	0	n
parce+qu' il	2	0	2	v
oh+la+la il	1	0	1	v
pas t'	4	0	4	v
oh une	1	1	0	petite
mon petit	2	2	0	n
ça fait	14	0	2	du
un petit	79	78	0	n
resème de	1	0	0	n
arbres pour	1	0	1	v
kʁa ça	1	0	1	v
alors attends	1	0	0	je
ouille mon	1	1	0	n
pleure peur	1	1	0	du
oh la+la+la	1	1	0	
{ oh+oui	1	0	0	
viennois aussi	1	0	0	un
marqué un	1	1	0	n
commence à	1	0	1	v
manette pour	1	0	1	v
met dans	1	0	0	la
chez mamie	1	0	0	et
poule compte	1	0	0	ses
est tu	1	0	0	as
fois un	1	0	0	n
qui dit	1	0	0	ça
de lui	3	0	3	depuis
me la	7	1	6	v
yeux tout	1	1	0	le
est bon	1	1	0	le
il y+a	8	3	0	des
sur une	3	3	0	grosse
fil d'	1	1	0	v
bon tu	3	1	1	v
pouvoir être	1	1	0	dans
là+bas y	1	1	0	en
monde sur	1	0	0	le
{ pourquoi	1	1	0	tu
pas prévues	1	0	0	
mais y+a	1	0	0	pas
passes quelques	1	0	0	n
oui elle	2	0	1	est
le cheval	2	0	0	qu'est+ce+qu'
écoutes à	1	1	0	la
ne les	2	1	1	v
bonhomme de	1	1	0	n
ou de	1	1	0	l'
attends ça	1	0	1	v
Mar garde	1	0	1	le
cogné tout	1	0	0	le
tu veuilles	1	0	1	
ils les	1	1	0	ont
rangé les	1	1	0	n
défait les	1	1	0	n
disent ça	1	0	1	v
on la	8	1	7	v
a trop	1	0	1	mantenant
ça ne	4	0	3	v
avant je	1	0	1	v
un tortillon	1	1	0	
as une	10	10	0	n
du du	2	2	0	n
ourse rousse	2	0	2	
tasse par	1	1	0	là
boire le	1	1	0	n
ont la	1	1	0	n
lequel je	1	0	1	v
voit des	3	3	0	n
profiter du	1	0	0	n
juste d'	1	0	1	v
mets pas	1	0	0	tes
vu le	7	7	0	petit
trouvé un	1	1	0	n
dans la	105	101	3	n
laisser le	2	2	0	plus
est à	11	0	0	la
à trois	1	1	0	n
parce+qu' hier	1	1	0	à
bébés sont	1	0	0	les
ça l'	1	1	0	a
pour te	3	0	3	v
rouge une	1	0	0	n
lui lire	1	0	0	une
les les	2	2	0	n
la petite	23	22	0	n
de sa	6	6	0	n
à pas	2	0	0	t'
doudou de	2	0	0	n
enlève le	5	5	0	n
notre ami	1	0	0	de
a presque	1	0	1	toutes
ici la	2	2	0	n
quoi comme	4	4	0	n
châteaux de	1	1	0	n
et des	9	8	0	n
voitures de	1	0	0	n
mais ça	2	1	0	v
et chaque	1	1	0	n
accent du	1	1	0	n
mets toi	4	0	0	debout
euh tiens	1	0	1	bah
ça commence	1	1	0	à
mis du	1	1	0	n
elle dit	2	0	0	papa
lait peut+être	1	0	0	v
était hier	1	1	0	n
plus notre	1	1	0	n
quoi les	1	1	0	n
continue d'	1	0	1	v
attention sans	1	0	1	v
est trop	18	2	0	petit
attends les	1	1	0	n
risques d'	1	0	1	v
un cheval	2	0	0	qui
brosser le	1	1	0	n
découper la	1	1	0	n
dire du	1	1	0	n
réparer la	1	1	0	n
as fait	2	0	1	une
abîmer ton	1	1	0	n
pas deux	2	2	0	en
faut pas	14	0	14	v
avait pas	4	1	3	v
perdu une	2	2	0	n
embêtes pas	1	0	0	v
tiens encore	1	0	0	un
tu la	21	2	19	v
lève les	1	1	0	n
y+a aussi	1	0	0	un
là ce	2	2	0	que
argent menton	1	0	0	fleuri
{ j'	18	0	16	ai
plus d'	3	3	0	n
va lui	4	0	4	v
à manger	3	0	0	à
{ debout	1	0	0	là
bain que	1	0	1	tu
histoires de	1	1	0	n
camping ils	1	0	0	sont
donna un	1	1	0	n
Hippolyte se	1	0	1	v
sa maman	1	0	0	soient
être mon	1	1	0	n
froid et	1	0	0	puis
m' aurais	1	0	0	v
passer le	1	1	0	n
bleu le	1	1	0	n
donner une	1	1	0	n
suis le	2	2	0	n
où les	6	5	0	n
ferme de	1	0	0	n
tapait du	1	1	0	n
Ame elle	2	0	1	v
du à	1	1	0	la
apporter la	1	1	0	n
mais ne	1	1	0	te
vont aller	1	0	0	dans
hein tu	6	0	5	v
mer la	1	1	0	n
où il	1	0	1	est
rangée sa	1	1	0	n
fini la	1	1	0	n
ouais tu	2	0	1	v
hein je	2	0	2	v
est madame	2	0	0	j'
colorié les	1	1	0	n
jaune la	1	1	0	n
là à	1	1	0	la
beaucoup le	1	1	0	petit
me raconter	1	0	0	tes
fallu la	1	0	1	n
fait bon	1	0	0	ben
invité du	1	1	0	n
et ben	1	0	0	v
hector le	1	1	0	n
avais mis	1	0	0	dans
tu touches	1	0	0	pas
fermer le	1	1	0	n
à sa	5	4	0	maman
va rester	1	0	0	en+bas
pas tout	4	0	3	v
des périodes	1	0	0	
{ Pierre	1	1	0	v
une nouvelle	4	4	0	n
redonnes la	1	1	0	n
entend plus	1	0	1	les
déjà du	1	0	0	n
sy très	1	0	0	bien
fête du	1	1	0	n
traces d'	1	1	0	v
lire ces	1	1	0	n
oh la	8	8	0	la
tu tires	1	0	0	pas
ouais je	1	0	1	v
pour pas	1	0	1	que
finalement la	1	1	0	n
allez essaie	1	0	0	de
sont au	1	1	0	n
euh bien	1	0	0	n
inondations sont	1	0	0	les
est ta	4	4	0	n
leur a	2	0	2	v
toi gros	1	1	0	n
encore une	6	5	0	n
ça au	1	1	0	moins
vois la	3	3	0	même
pas des	11	11	0	n
sais en	1	0	0	plus
craque craque	2	2	0	n
{ sac+à+dos	1	1	0	est
maillot+de+bain au	1	1	0	n
passer l'	1	1	0	n
parti tellement	1	0	0	de
là qui	1	0	0	est
dépêche de	1	0	1	n
vais aller	1	0	1	v
rentrer les	1	1	0	n
ou du	1	0	0	n
met en	1	0	0	a
boite qui	1	0	1	v
elle peuvent	1	0	1	s'
est six	1	1	0	n
peux même	1	0	1	n
la dernière	3	2	0	n
attraper le	1	1	0	n
{ éh+éh	1	0	1	on
montres l'	1	1	0	n
la famille	1	0	0	n
pour le	18	12	5	v
contre je	1	0	1	v
a dû	3	0	3	v
écrabouillé les	1	1	0	n
caresse le	1	1	0	n
voit une	1	1	0	n
du vélo	2	0	0	le
ce grand	1	1	0	n
normalement les	1	1	0	n
bottes de	1	1	0	maman
retrouver un	1	1	0	n
a ton	3	3	0	n
laisse toute	1	1	0	n
ben du	1	1	0	n
toute ces	1	1	0	n
fermer les	1	1	0	n
coin+coin coin	1	1	0	qui
mh la	1	1	0	n
assez d'	1	1	0	v
mets tes	4	4	0	n
spectacle va	1	0	1	v
mais je	4	0	4	v
talons de	1	1	0	n
pas sur	1	0	0	le
vas lui	4	0	4	v
hein au	1	1	0	n
regarde y+a	1	0	0	des
là aussi	1	1	0	c'
est ce	4	3	0	n
parlant de	1	1	0	n
sous l'	2	2	0	n
{ encore	1	0	1	un
petit oiseau	1	0	0	il
huit neuf	1	0	0	et
laisses en	1	1	0	a
continuer ton	1	1	0	n
quand ils	4	0	0	v
ai pas	13	3	8	v
attacher les	1	1	0	n
pourras plus	1	0	1	de
se construit	1	0	0	le
manque des	6	6	0	n
pourrais lui	1	0	1	v
donné la	2	2	0	n
vas tout	1	0	1	v
si ça	3	0	3	v
euh mon	1	1	0	n
dansait pour	1	0	0	v
méfies du	1	1	0	n
de discuter	1	0	0	
pêcher des	1	1	0	n
la barrière	1	0	0	elle
bricoleur qui	1	0	1	v
ils vont	4	0	4	v
partager la	1	1	0	n
ai bientôt	1	0	0	v
ou plus	1	0	0	de
fois toute	1	0	0	n
vers le	3	3	0	n
fait à	1	0	0	Pie
{ bonjour	6	6	0	n
pas seulement	1	0	1	ça
pied qui	1	0	1	v
il p	1	0	0	v
même les	4	3	0	petits
doucement que	1	0	0	tu
vivement ce	1	1	0	que
montres ta	1	1	0	n
dire sans	1	0	1	v
as joué	1	0	0	aux
de fort	1	1	0	qu'
elle se	6	1	5	v
elles s'	3	0	3	v
imagine des	1	1	0	n
je prends	1	0	0	le
juste une	1	1	0	petite
remet le	1	1	0	n
qu' ils	4	0	1	sont
jette la	1	1	0	n
déjà quelques	1	1	0	n
maman qui	1	0	1	v
éléphants qui	1	0	0	v
veux écrire	1	1	0	sur
bon ben	3	0	2	je
on on	1	0	1	v
{ quelle	7	5	0	n
voilà le	1	1	0	n
beau ton	1	1	0	n
encore tout	1	0	0	le
pourrez vous	1	0	1	v
euh pour	1	0	1	v
prendre l'	1	1	0	n
accueillir le	1	1	0	n
pourras les	1	0	1	n
euh ton	1	1	0	n
mets à	1	1	0	la
à cet	1	1	0	n
{ faudra	2	0	2	qu'
est+ce+que les	1	1	0	n
réveillé hein	1	1	0	tu
allez tu	5	2	3	v
on peut	5	0	4	v
ceux du	1	1	0	n
derrière la	8	8	0	n
se met	3	0	0	à
parce+que le	1	1	0	n
essayes tu	1	0	1	v
connais les	2	2	0	n
tu avais	9	3	6	v
je dirais	1	0	0	plutôt
eee on	1	0	1	v
attention à	1	0	0	ton
drôle de	4	4	0	n
{ bateau	1	1	0	sur
apporté à	1	0	0	la
a lu	2	1	0	celui+là
sous ton	1	1	0	n
joue aux	6	6	0	n
changer de	1	1	0	n
pot de	2	2	0	n
oh+la+la un	1	1	0	n
pomme d'	3	3	0	n
appuyer plus	1	1	0	pour
le médecin	1	0	1	c'
oeufs de	2	0	0	Pâques
qui est+ce+qui	6	0	5	v
voir des	1	1	0	n
bientôt quatre	1	1	0	cinq
viens mes	1	1	0	n
le dire	2	0	0	au
coup au	1	1	0	n
encore des	1	1	0	n
quand Monsieur	1	0	0	Peureux
les avait	1	0	1	v
les a	5	0	2	v
laisses pas	1	0	1	v
fait ça	1	0	0	quand
d'avoir bien	1	0	1	v
rien très	1	0	0	bien
linge il	1	0	1	v
un oeuf	1	1	0	de
qu' il	26	0	14	v
couvercles en	1	1	0	a
bisous au	1	0	0	n
donnes à	1	0	0	v
pas tenir	1	0	0	en
ce tapis	1	0	0	rouge
sera toujours	1	0	0	pas
{ lee	1	1	0	
épée elle	1	0	0	v
nous il	1	0	1	v
vendez des	1	1	0	n
qu' en	1	0	0	te
{ guili	2	2	0	n
avant de	3	0	3	v
ça comme	4	4	0	n
{ elles	5	0	3	sont
collées les	1	1	0	unes
de bons	1	1	0	euh
refroidir euh	1	1	0	v
de Tite	1	0	0	n
ai encore	1	0	0	une
caches le	1	1	0	n
ah un	2	2	0	n
trop les	1	1	0	n
est dangereux	1	0	1	le
la faire	8	0	8	v
normalement s'	1	0	1	v
{ ah	18	5	4	oui
une tes	1	1	0	n
mettre tes	4	4	0	n
suis un	1	1	0	grand
trop le	2	1	1	n
donnes des	1	1	0	n
boules de	1	1	0	n
ton sac	1	1	0	je
prépare un	1	1	0	n
oeuf et	1	0	1	puis
tient la	1	1	0	n
un autre	15	15	0	n
pas te	5	0	5	v
commences à	1	0	1	v
regardes le	1	1	0	n
rose qu'	1	0	0	il
les petites	10	10	0	n
cinq poussins	1	0	0	v
aussi un	3	2	0	petit
vu un	2	2	0	n
tonne de	1	1	0	n
qui l'	2	0	2	a
joué aux	1	1	0	petits
suis toujours	1	0	0	pas
qu'est+ce tu	5	0	4	v
mais heuh	1	0	0	v
comme poule	1	1	0	et
moi cette	2	2	0	n
est fait	1	1	0	pour
non je	2	0	1	v
mais bon	1	1	0	ça
marques là	1	0	0	c'
marche plus	1	0	0	bien
avoir l'	1	1	0	n
oreilles une	1	1	0	n
les beaux	1	1	0	jolis
dans quelques	1	1	0	n
serait pas	1	0	0	une
fais ta	4	1	0	timide
{ allez	22	6	12	v
tu m'appellais	1	0	0	
ai une	2	2	0	autre
le porter	1	0	0	ça
consignes à	1	0	1	la
lourde sa	1	1	0	n
boite des	1	1	0	n
tête là	1	0	0	au
pas ours	1	0	0	brun
aussi à	1	0	0	une
prends la	4	4	0	n
sur leurs	1	1	0	n
petite boîte	1	1	0	n
notre histoire	1	0	0	de
gare des	1	1	0	n
noirs un	1	1	0	n
dis les	1	1	0	n
maman poule	2	1	1	qui
est sacrément	1	0	0	bien
son petit	2	2	0	n
{ Pie	1	1	0	il
bouche les	1	1	0	n
fait du	6	6	0	n
ami Monsieur	1	0	0	Peureux
redonner l'	1	1	0	n
demi et	1	0	0	trois
regarder ma	1	1	0	n
motiver à	1	0	1	la
range le	1	1	0	n
tu voulais	2	0	2	v
ceux+là ils	1	0	0	sont
fait pas	6	2	2	de
des plus	1	0	0	petits
même mal	1	0	0	à
apportes un	1	1	0	n
ouvres tu	1	0	1	v
on attache	1	0	0	hein
pas les	23	16	4	n
a peu	1	0	1	de
tube de	1	1	0	n
derrière les	1	1	0	n
tu dis	4	2	0	que
en mettre	1	0	0	un
marqué tes	1	1	0	n
dit Philippon	1	0	0	c'
parle tu	1	0	1	v
elle m'	1	0	1	v
lapinous se	1	0	1	v
qui as	1	0	1	v
comment cette	1	1	0	n
même euh	1	0	0	lui
garder le	1	1	0	n
pas toutes	1	0	0	les
tu en	15	0	14	as
hier en	1	0	0	a
un nouveau	2	2	0	n
{ si	1	0	0	tu
gommettes en	1	0	1	v
oui la	3	3	0	n
déjà le	1	1	0	n
bouche et	1	0	1	un
peut l'	1	0	1	v
qui avais	1	1	0	v
cartes du	1	1	0	n
à peu	1	0	0	de
sécher tout	1	0	0	le
chez maman	1	1	0	elle
à cette	2	2	0	n
bein son	1	1	0	n
colorier la	1	1	0	n
Dad il	1	0	0	v
là tu	7	0	7	v
on ne	10	10	0	n
du même	1	1	0	n
garder la	1	1	0	n
moi tes	1	1	0	n
donneras le	1	1	0	n
mallette de	1	1	0	n
environ une	1	1	0	n
veut t'	1	0	1	v
raison pour	1	0	1	v
on est	11	1	6	v
sur de	1	0	0	n
bouche j'	1	0	1	v
regarde une	1	1	0	petite
ont tout	1	0	1	le
des petis	1	1	0	n
jeu d'	1	0	0	v
à parler	1	1	0	un
est ça	2	0	2	que
le un	1	1	0	puis
perdu son	1	1	0	n
eau ça	1	0	1	v
mettre moins	1	0	0	fort
ouverte tout	1	0	0	le
biberon est	1	0	1	pas
vais être	1	0	0	toute
vas être	1	0	1	v
ouvres toute	1	1	0	n
pas faire	2	1	1	un
dit l'	1	1	0	n
affaires par	1	1	0	là
et ça	4	0	4	c'
que les	9	8	0	n
perles en	1	0	1	a
plus le	1	1	0	v
gâteau au	3	3	0	n
la page	2	2	0	là
termine celui+ci	1	1	0	en
est papi	1	1	0	ou
c'est+ce+que j'	1	0	0	ai
prépare la	1	1	0	n
mercredi on	1	0	1	v
tuas un	1	1	0	n
qui tu	1	0	1	v
vais en	1	0	1	v
écrire deux	1	1	0	n
lavé son	1	1	0	n
c' était	9	3	0	un
termine on	1	0	1	v
forme tu	1	0	1	v
tourner la	1	1	0	n
livres mon	1	1	0	n
aller jusqu'à	1	0	0	ce
encore à	2	0	2	la
était en	2	2	0	n
se rait	1	0	0	
avec papa	1	0	0	aujourd'hui
connais la	1	1	0	n
y+a déjà	1	0	0	assez
tiens viens	1	0	1	on
cheval à	3	0	3	la
regarder hein	1	1	0	tu
vas faire	1	0	1	le
venait elle	1	0	1	v
assieds toi	1	0	0	pour
hop on	3	0	3	v
cuire le	1	1	0	n
par terre	1	0	0	c'
chaussettes ça	1	0	1	v
faut du	1	1	0	n
{ pêche	1	1	0	au+dessus
à avoir	1	0	1	un
faut encore	1	0	1	en
meunier tu	2	0	2	v
pour se	3	0	3	v
pour t'	5	0	5	v
tient tout	1	0	0	le
choses à	1	0	1	v
chercher le	6	6	0	papa
{ papa	1	1	0	il
coup+de+pied au	1	1	0	n
endormis les	1	1	0	n
attends deux	1	1	0	n
{ poulet	1	1	0	aux
fasse un	4	4	0	n
faire ta	1	1	0	petite
t' ont	1	0	0	v
compliqué le	1	1	0	n
elle te	1	0	1	v
bonne cette	1	1	0	n
informer le	1	1	0	n
autre d'	1	1	0	v
les pieds	1	0	0	dans
te rends	1	1	0	pas
{ Spot	1	0	1	s'
chez la	1	1	0	marchande
Pierre s'	1	0	1	v
aimera mieux	1	0	0	le
se cache	1	0	0	sous
joue avec	4	0	0	les
rapproches ton	1	1	0	n
lu hier	1	1	0	n
pour la	5	3	1	n
à quatre	2	2	0	n
oui au	1	1	0	n
as tous	1	0	1	les
là une	1	1	0	grosse
parce+que ça	2	0	2	v
rousse fait	1	1	0	n
salir la	1	1	0	n
tête du	3	3	0	petit
après cette	1	0	1	n
sont encore	1	0	1	au
entendre euh	1	0	0	v
grand que	1	0	0	l'
tires la	1	1	0	n
{ de	18	9	1	la
avait la	2	2	0	n
couleur tes	1	1	0	n
trouver le	1	1	0	n
joues au	1	1	0	n
as éclairé	1	0	0	dans
a bien	4	0	2	v
canon par	1	1	0	là
bretelle de	1	1	0	n
bon en	1	1	0	a
attention tu	1	0	1	v
faciles à	1	0	1	la
écrire son	1	1	0	n
est+ce+qu' ils	1	0	1	sont
chats ils	1	0	1	sont
mis le	2	2	0	n
enfants pour	1	0	0	v
a très	3	2	0	mal
vas me	4	0	4	v
un doudou	2	2	0	pour
un yaourt	1	0	0	de
pose des	2	2	0	n
non+non il	1	0	1	v
son le	1	1	0	n
tu montres	1	0	0	comment
hein des	1	1	0	n
madame je	1	0	0	v
voir j'	1	0	1	ai
mare aux	1	1	0	n
huit à	1	0	1	n
une petite	35	33	2	n
douée mais	1	0	0	c'
je n'	1	0	1	ai
facile par	1	1	0	là
te mets	3	0	0	pas
étais pas	1	0	0	v
retrouve plus	1	0	0	les
y a	5	1	2	un
plus grand	1	1	0	que
des vraies	1	1	0	n
petits de	1	1	0	n
accroches au	1	1	0	n
orange à	1	0	0	la
donne à	2	0	0	v
essuie ta	1	1	0	n
viens me	2	0	2	v
arrive Monsieur	1	0	0	Peureux
cheveux en	1	1	0	a
trouver autre	1	1	0	n
mh tu	1	0	1	v
volant mais	1	0	0	c'
plus la	1	0	1	peine
juste à	1	1	0	la
beau front	1	0	0	c'
jonquille une	1	1	0	n
bébé va	1	0	1	v
pour me	1	0	1	v
quille chez	1	0	0	n
beaucoup de	13	13	0	n
mangent des	1	0	0	n
après par	1	1	0	là
doudou qui	1	0	0	est
mélangé du	1	1	0	n
aussi une	3	3	0	n
grenouille à	1	1	0	la
raconte le	1	1	0	n
à ton	11	11	0	n
sur un	5	5	0	n
a jamais	2	0	1	v
ronds oui	1	0	0	c'
nez très	1	0	1	bien
comme les	5	4	0	n
peux t'	3	0	3	v
le répares	1	0	0	
ça traine	1	0	0	dans
sur leur	1	1	0	n
mais sa	1	1	0	n
rivière bon	1	1	0	ben
puis en	1	1	0	plus
alors du	2	2	0	n
autres ils	1	0	0	sont
Léon le	1	1	0	n
rien me	1	0	1	v
comme moi	1	0	0	je
ça doit	2	0	2	v
ouais une	1	1	0	n
transformée en	1	1	0	a
mains de	1	0	0	n
a même	1	0	1	des
toi la	2	2	0	n
tu sois	1	0	0	tout
le tout	1	0	0	c'
je sais	1	0	0	pas
les formes	1	0	0	
tu les	24	6	18	v
on prend	1	0	0	le
pas un	16	13	0	n
va jouer	1	0	0	à
pouvez me	1	0	1	v
comme ça	4	0	1	qu'
regarde ta	1	1	0	petite
eu le	4	4	0	n
ni vu	1	0	0	le
éteindre le	2	2	0	n
pense à	1	0	0	la
a racontée	1	0	0	avant
ou les	3	3	0	n
voilà la	2	2	0	première
regarde ses	3	2	0	petits
planter des	1	1	0	n
sommet des	2	1	0	n
eau au	1	1	0	n
{ spot	1	0	1	il
oh j'	2	0	1	ai
{ sans	1	0	0	mon
sorti ce	1	1	0	que
comme à	1	0	0	l'
attends je	1	0	1	v
et du	1	1	0	n
dans toutes	1	0	0	ces
gestes ça	1	0	0	v
avait un	1	1	0	n
euh dans	1	0	0	les
ont le	1	1	0	n
tu du	1	1	0	n
ne se	1	0	1	v
en voit	1	0	0	pas
parce+qu' alors	1	0	0	tu
bottes on	1	0	1	v
contre temps	1	0	1	de
des bébés	2	1	0	comme
puis qui+est+ce+qui	1	0	1	v
poisson au	2	2	0	n
continue à	1	0	1	v
pas emmener	1	0	0	tout
ce le	1	1	0	n
tu tournes	1	0	0	la
ai tellement	1	1	0	de
ces nouvelles	1	1	0	de
là on	3	0	3	v
se répare	1	0	0	le
euh sur	2	0	0	son
six flamands	1	0	0	euh
chaise à	1	0	1	la
ville qui	1	0	1	s'
{ pleure	1	1	0	la
Bécassine est	1	0	1	un
son lit	1	0	0	l'
tout son	1	1	0	n
disent ils	1	0	1	sont
vas toujours	1	0	1	pas
des poches	1	0	0	comme
les jours	1	0	0	que
pouvoir t'	1	0	1	v
on pourra	1	0	1	plus
poses par	1	1	0	là
faire une	10	8	0	n
tu vas+y	1	0	1	v
ses petits	1	1	0	on
qui a	9	1	7	v
s vont	2	0	1	v
assez de	1	1	0	n
sers du	1	1	0	n
tombées tant	1	1	0	n
requin toute	1	1	0	n
as six	1	1	0	n
les mettra	1	0	0	pour
{ oui	15	5	3	mais
ça j'	2	0	2	v
feuilles au	1	1	0	n
ta cracotte	1	0	0	c'
des nouveaux	1	1	0	n
parapluie en	1	0	1	a
pieds les	1	1	0	n
maintenant se	1	0	1	v
carrément qui	2	0	2	v
tu appelles	1	0	0	ça
sais plus	1	0	1	où
à la	78	75	0	n
milieu des	3	3	0	n
autre fête	1	0	0	là
de couleurs	1	0	0	sur
hein le	3	3	0	n
Tournicote est	1	0	1	pas
{ attention	4	0	0	à
trousse de	1	1	0	n
j' entends	1	0	1	ce
descendre du	1	1	0	n
{ parc+que	1	0	0	
y+a quatre	1	1	0	cinq
rangé ta	1	1	0	n
pfff ce	1	1	0	que
caisses en	1	1	0	a
pissenlits ça	1	1	0	v
sur des	3	3	0	n
vraiment très	1	0	0	jolis
mettre une	2	2	0	n
replacer les	1	1	0	n
a juste	1	1	0	un
tu es	66	2	16	v
en tout	6	6	0	n
ça ça	10	0	9	v
peut+on le	1	0	1	n
sous son	1	1	0	petit
vas les	2	0	2	v
penser à	1	1	0	cette
pas son	1	1	0	n
mettre l'	2	2	0	n
va faire	6	2	2	un
fasses le	1	1	0	n
{ aurevoir	1	0	0	au
gardes le	2	2	0	n
fois à	1	0	0	la
en le	2	0	1	n
faire euh	1	0	1	un
mh une	1	1	0	n
et bien	1	0	1	c'
fille en	1	1	0	n
monte il	1	0	1	v
ah ton	1	1	0	n
pas du	3	2	0	tout
a jetées	1	0	0	
et petit	1	0	0	Paul
à peine	1	0	1	c'
main du	1	1	0	n
bois la	1	0	0	n
le lait	2	1	0	c'
la montagne	1	0	0	de
par+terre ce	1	0	0	que
est mal	1	0	0	v
vu ni	1	0	0	sur
casse je	1	1	0	v
ça ils	2	0	0	v
il en	23	2	19	v
nuit est	1	0	1	v
tous tes	1	1	0	n
auras la	1	1	0	n
quand même	1	1	0	euh
éléphant deux	1	1	0	n
as le	2	2	0	n
prépare toujours	1	0	0	pas
le lise	1	1	0	une
caméra super	1	0	1	n
ben à	1	0	0	ton
ne te	4	0	4	v
de bouger	1	0	0	soit
non une	4	4	0	n
petit peu	13	4	3	de
maman super	1	1	0	n
perdu aux	1	1	0	n
poivre les	1	1	0	n
plume lui	1	0	1	v
qui vont	1	0	0	le
ah mot	1	0	0	de
as presque	1	0	1	v
oiseau tout	1	0	0	le
hérisson s'	1	0	1	v
les mains	4	0	0	sur
tour à	1	1	0	la
je je	1	0	1	v
ferme les	2	2	0	n
blancs une	1	1	0	n
pin+pon ils	1	0	0	sont
sont tous	2	0	1	les
que sa	1	1	0	n
chaussures est	1	0	1	pas
bien la	2	2	0	n
connais par	1	1	0	là
lequel tu	1	0	1	v
ça pour	1	0	1	le
livres ne	1	0	1	v
elle fait	2	2	0	la
pas jouer	2	0	0	avec
as deux	3	3	0	n
une idée	1	0	0	en
morceau parce+que	1	0	0	tu
le bouton	1	0	0	jaune
gardes cette	1	1	0	n
que ses	2	2	0	n
à leur	1	1	0	n
montrer tes	1	1	0	n
coquine cette	1	1	0	n
Casimir et	1	0	0	puis
montre une	1	1	0	n
ranges les	1	1	0	n
{ rouge	1	0	0	comme
faim il	1	0	1	v
êtes des	2	2	0	grands
le pied	1	0	0	de
rêve et	1	0	1	puis
tu le	52	12	40	v
main dedans	1	0	0	mais
mettre ton	2	2	0	n
dit maman	3	3	0	n
qu'est+ce+qui est	6	1	5	v
grains de	2	2	0	n
au même	3	3	0	n
train toute	1	1	0	n
grand ma	1	1	0	n
pas en	6	3	1	v
manges ton	2	2	0	n
mets les	2	2	0	n
donné le	1	1	0	n
laisser partir	1	1	0	avec
es une	1	1	0	n
allée en	2	0	0	a
déplaces tu	1	0	0	te
bouts des	1	1	0	n
de jolies	1	1	0	n
à tous	2	0	0	ses
pas cette	1	1	0	petite
acheté cette	1	0	0	n
se sont	2	1	1	v
regarde ça	3	0	2	v
range tes	2	2	0	n
mettre la	3	3	0	n
bel oiseau	1	0	0	qui
corde comme	1	0	0	ça
j' avais	5	1	2	pas
est lequel	1	0	0	qui
aimes bien	2	0	2	v
tranquilles mes	1	1	0	n
d' être	3	0	3	en
voitures qui	1	0	1	v
{ wouh	2	1	0	
petit contre	1	1	0	un
au+dessus d'	1	0	0	v
en ait	1	0	1	des
a qui	1	0	1	sont
euh ouais	1	0	0	comme
attrape des	1	1	0	n
habitué à	1	0	1	la
ça brille	1	0	0	plus
bien vendu	1	0	0	
en mets	1	0	0	un
qui la	2	1	1	n
oui faut	2	0	2	pas
{ maman	1	1	0	elle
demande le	1	0	0	n
pleure pas	1	0	0	v
de la	109	101	5	n
est mon	2	2	0	n
là cette	1	1	0	n
promener le	1	1	0	n
faire les	7	7	0	n
même enlever	1	0	0	le
appelle Monsieur	1	0	0	Peureux
des bosses	1	0	0	comme
une souris	2	1	0	verte
au+lieu+de te	1	0	1	v
replace le	1	1	0	n
couleur ses	1	1	0	n
propre de	1	1	0	n
de plus	1	1	0	en
enlèvera la	1	1	0	n
lunettes de	1	1	0	n
comme le	4	4	0	n
puisse s'	1	0	1	v
dû la	1	0	1	v
hop ils	1	0	0	v
toute seule	1	0	0	comme
as bien	8	2	6	v
sans les	2	0	1	n
aussi cette	1	1	0	n
allais y	1	0	1	en
promenez les	1	1	0	n
de le	10	0	8	v
{ hein	11	4	0	tu
normalement ça	2	0	0	t'
bête ta	1	1	0	n
livres que	1	0	0	tu
a donné	1	0	0	ce
amener au	1	1	0	n
siffle toi	1	0	0	tu
en parfait	1	1	0	c'
enfin bon	1	0	0	on
souvent à	1	0	0	la
vite que	1	0	0	euh
prendre des	1	1	0	n
ont des	7	6	0	n
quand+même les	1	1	0	n
ça une	3	3	0	n
change de	1	1	0	n
Pic la	1	1	0	n
as un	7	4	0	n
est elle	1	0	1	s'
découper comme	1	1	0	ça
parce+qu' on	1	0	0	v
oh+oh on	1	0	1	a
prends mes	1	1	0	n
acheter du	2	2	0	n
moins un	1	1	0	petit
offre le	1	1	0	n
sur cette	3	1	1	n
pense un	1	1	0	n
peut+être pour	1	0	0	v
autres clowns	1	0	0	
elle va	7	0	5	v
combien de	4	4	0	n
oh bah	1	0	0	ça
sapin au	1	1	0	n
pareil pour	1	1	0	v
est autre	5	5	0	n
ah pour	2	0	2	v
voudrais un	1	1	0	n
donner un	1	1	0	petit
habits des	1	1	0	n
on enlève	1	0	0	le
allez ils	1	0	0	sont
indiques les	1	1	0	n
veux la	3	0	3	v
n' y	3	0	3	v
ta nouvelle	1	0	1	n
soit les	1	0	0	n
traineau il	1	0	1	v
déjà bien	1	0	1	v
sur tes	4	4	0	deux
as été	1	0	1	v
piloter l'	1	1	0	n
amuse à	1	0	1	la
lui chantais	1	0	0	la
concocter des	1	0	0	n
et un	8	8	0	n
vu ses	1	1	0	grosses
cheval en	1	0	0	a
un premier	1	1	0	n
a le	7	5	0	n
dans cinq	1	1	0	six
en passes	1	0	0	par
prends en	1	1	0	a
