contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
tu mets	2	0	0	le
euh un	5	5	0	n
a déjà	1	0	1	v
as choisi	1	0	0	comme
tout en	1	1	0	n
poussins de	2	1	0	n
coin+coin coin+coin	1	1	0	bien
{ appuie	1	1	0	sur
des pois	1	0	0	
sont des	15	15	0	n
des des	3	2	0	n
ah comme	1	1	0	la
écrive les	1	1	0	n
puis une	1	1	0	n
très en	2	2	0	a
le bleu	1	0	0	c'
d'accord on	3	0	2	v
pour un	1	1	0	n
lit d'	2	0	0	v
a tout	2	0	2	v
le mette	1	0	0	dans
comment l'	1	1	0	n
tenir au	1	0	0	n
monsieur le	1	1	0	n
aller se	2	0	2	v
deux pates	1	0	0	
te faire	2	0	2	n
intéressé ce	1	1	0	que
pas mettre	1	0	0	le
ça elles	1	0	0	sont
as trop	1	0	0	de
vu à	1	0	0	qui
est+ce+qu' on	3	0	3	v
hein un	1	1	0	n
coucher plus	1	0	0	de
faire la	8	8	0	n
bas à	1	1	0	la
si Pie	1	0	1	qui
{ eh	4	1	1	eh
celui+là de	1	1	0	n
avais pas	9	0	5	v
on vous	1	0	1	v
pas l'	15	8	7	n
eh mais	1	0	1	pourquoi
crois que	3	1	0	c'
têtu ces	1	0	0	n
vais plus	1	0	1	en
avoir un	4	4	0	n
du petit	3	3	0	n
maison en	1	1	0	n
maman m'	1	0	1	v
toi tu	5	0	5	v
avec une	5	4	0	n
regardait les	1	1	0	n
peu euh	1	0	1	v
{ oh+la+la	1	0	0	mais
tige de	1	1	0	n
par là	2	0	0	par
il serait	1	0	0	pas
est celui+ci	1	0	0	maintenant
la soif	1	0	0	on
ou moins	1	0	0	de
ah ça	4	0	4	c'
prudente au	1	1	0	n
avais très	1	1	0	bien
faut en	1	0	1	v
blottis dans	1	0	0	la
rivière au	2	2	0	n
retrouve une	1	1	0	n
se changer	1	0	0	de
mais elle	2	0	1	est
et vous	1	0	1	avez
sa petite	1	1	0	n
songer à	1	0	1	la
{ craque	1	1	0	n
pout pout+pout	1	0	0	
pied parce+que	1	0	0	tu
voir au	1	1	0	n
{ des	62	59	0	n
ils auront	1	0	1	n
appelles un	1	1	0	n
donner à	1	0	0	v
l' échographie	1	0	0	
ba faut	1	0	1	v
non mais	2	0	2	v
coussins un	1	1	0	n
et s'	3	0	3	ils
démonter les	1	1	0	n
petit le	1	1	0	n
est là	2	0	0	qu'
heure au	1	1	0	n
aidée par	1	0	0	là
taxi à	1	1	0	la
sa grande	1	1	0	n
là ses	1	1	0	n
trop se	1	0	1	v
cognée ouïe	1	1	0	ça
les laisser	1	0	0	sur
ne t'	2	0	2	v
ça paraît	1	0	0	que
fera autre	1	1	0	n
redécouvres tes	2	2	0	n
touché au	1	1	0	n
déjà tout	2	0	1	v
là la	7	6	0	n
m' appelle	1	0	0	pas
chante à	2	0	0	la
il a	47	15	20	v
pas es	1	0	0	v
oh des	2	2	0	grandes
venus au	1	1	0	n
lave tout	1	0	0	le
dit Monsieur	1	0	0	Peureux
tout de	4	4	0	n
tous nos	1	1	0	n
regarde qui	1	0	1	est
de depuis	1	1	0	ce
attrape sa	1	1	0	n
en l'	4	4	0	n
est parti	2	0	1	on
t' avait	1	0	1	v
est complètement	1	0	0	on
ah+la+la quelle	1	1	0	n
s sont	3	1	1	les
regarde la	4	2	0	n
prendre un	5	5	0	autre
grand des	1	1	0	n
peu à	2	0	1	l'
aller voir	1	0	0	par
vais y	1	0	1	en
{ on	133	12	110	v
une pelle	2	2	0	dans
puisqu' il	1	0	0	était
peut+être une	2	2	0	n
queue de	1	1	0	n
regarder les	6	6	0	n
peu plus	12	4	0	grande
ferme la	1	1	0	n
mousse toute	1	0	0	n
faire des	17	15	0	n
quoi un	1	1	0	n
la place	1	0	0	pour
allez zou	1	1	0	en
vu tu	1	0	1	as
il sait	1	0	1	v
entrain du	1	1	0	n
as regardée	1	1	0	
peu du	2	2	0	n
espèces de	1	1	0	n
étage du	1	1	0	n
monter dans	1	0	1	la
trouver les	2	2	0	derniers
bon bah	1	0	0	je
nous as	1	0	1	v
as pas	26	7	14	v
fait bien	1	1	0	v
manquer d'	1	1	0	v
lave son	1	1	0	n
reconnu un	1	1	0	n
ah ils	1	0	0	sont
un an	1	0	0	que
vient le	1	0	1	n
roues du	1	1	0	n
demande de	1	0	1	me
sont tout	4	1	1	devant
{ étonnée	1	0	0	
mettre mon	1	1	0	n
pour du	1	1	0	n
est noël	1	1	0	de
eu un	4	4	0	petit
pas feutrés	1	0	1	
les enfants	1	0	0	je
{ la	93	88	2	n
allé plus	1	0	0	de
partir de	1	0	0	n
pour m'	1	0	1	v
{ une	121	107	3	n
être très	2	1	0	bon
avez pas	1	0	1	v
{ tout	7	2	2	le
comme ses	1	1	0	n
il te	9	0	9	v
semer bécher	1	0	1	
besoin d'	4	4	0	v
éléphanteau qui	1	0	0	v
bah plus	1	0	0	de
alors on	14	0	14	v
dans tes	2	2	0	petits
ça avait	1	0	1	v
coupé des	1	1	0	n
mettra trois	1	1	0	n
en main	1	0	0	à
donc attention	1	0	0	à
utilise cet	1	1	0	n
continue le	1	1	0	n
met le	7	6	0	v
maison de	2	1	0	n
va aller	4	0	3	v
Mar qui	3	1	1	est
non tu	12	0	12	v
pour être	1	0	1	v
des nouvelles	1	1	0	de
dites euh	1	0	1	v
en t'	2	0	2	v
un grand	8	8	0	n
toutes les	16	14	0	n
le joli	1	1	0	comme
Tim on	1	0	1	v
oh+oh tu	1	0	1	te
comment elle	1	0	1	s'
quatre cinq	5	0	0	six
à remuer	1	0	0	mon
vite le	1	0	1	n
malin et	1	1	0	puis
piles ce	1	1	0	que
tellement de	1	1	0	n
oui ça	3	1	1	v
l' utilises	1	0	0	ton
leur faire	2	0	2	le
chercher ton	2	2	0	n
la voiture	2	1	0	elle
midi au	1	1	0	n
va laisser	1	0	1	le
manges le	2	2	0	n
{ ne	4	4	0	n
alors ne	1	1	0	v
as déjà	3	0	3	v
entende bien	1	0	1	v
mettre mes	1	1	0	n
pas ma	1	1	0	n
eu peur	1	0	0	du
{ pique	1	1	0	oui
{ autre	1	1	0	n
coupe ma	1	1	0	n
un deuxième	1	1	0	dans
clefs pour	1	0	1	v
vas nous	1	0	1	v
pour euh	2	0	1	v
neuf singes	1	0	0	
{ qui	11	1	9	c'
bah les	1	0	0	premiers
nez à	1	0	0	la
ouh bah	2	1	0	tu
doigt pour	1	0	1	v
ça m'	1	0	1	v
touches ça	1	1	0	v
du Petit	1	1	0	n
colère se	1	0	1	v
qui s'	2	0	2	v
plutôt les	1	1	0	n
lumière l'	1	0	1	n
voici le	1	1	0	n
attention Emi	1	0	1	elle
heure tu	1	0	1	v
fasse le	1	1	0	n
qu' autrement	1	0	0	on
voilà Tite	1	0	0	n
bouts de	1	1	0	n
