k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.75	0.4838709677419355	0.008695652173913044	0.04559270516717325	507	354	70
1	0.6612903225806451	0.46808510638297873	0.12576687116564417	0.0625	488	358	73
2	0.9	0.53125	0.027439024390243903	0.1021021021021021	498	351	85
3	0.25	0.40425531914893614	0.010135135135135136	0.052486187845303865	507	339	82
4	0.5	0.6181818181818182	0.00946372239747634	0.08808290155440414	524	358	70
5	0.625	0.4	0.016025641025641024	0.09615384615384616	504	304	68
6	0.5	0.7254901960784313	0.007042253521126761	0.11746031746031746	489	291	70
7	1.0	0.6101694915254238	0.02821316614420063	0.1037463976945245	472	347	79
8	1.0	0.4915254237288136	0.0029411764705882353	0.07945205479452055	516	383	87
9	0.46153846153846156	0.4473684210526316	0.019801980198019802	0.04985337243401759	476	346	71
