k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9105691056910569	0.8214285714285714	0.1499330655957162	0.04967602591792657	971	497	59
1	0.9215686274509803	0.9473684210526315	0.06536856745479833	0.07453416149068323	981	469	63
2	0.875	0.9	0.10086455331412104	0.07484407484407485	990	459	77
3	0.8910891089108911	0.8260869565217391	0.13005780346820808	0.07378640776699029	985	496	62
4	0.9166666666666666	0.8666666666666667	0.0650887573964497	0.04990403071017274	964	482	57
5	0.8846153846153846	0.8148148148148148	0.06794682422451995	0.05128205128205128	938	443	70
6	0.9174311926605505	0.9166666666666666	0.15082956259426847	0.04835164835164835	921	450	53
7	0.8641975308641975	0.9705882352941176	0.10294117647058823	0.06846473029045644	935	440	66
8	0.9552238805970149	0.9166666666666666	0.09116809116809117	0.08576998050682261	943	535	71
9	0.9	1.0	0.12482662968099861	0.06748466257668712	953	510	55
