k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.5	0.46153846153846156	0.008939974457215836	0.012096774193548387	0	0	0
1	0.4444444444444444	0.4	0.005194805194805195	0.015779092702169626	0	0	0
2	0.42857142857142855	0.13333333333333333	0.008097165991902834	0.007905138339920948	0	0	0
3	0.6	0.41025641025641024	0.012379642365887207	0.02877697841726619	0	0	0
4	0.5294117647058824	0.17647058823529413	0.012396694214876033	0.005385996409335727	0	0	0
5	0.5	0.46153846153846156	0.004137931034482759	0.02586206896551724	0	0	0
6	0.4444444444444444	0.26666666666666666	0.011283497884344146	0.008247422680412371	0	0	0
7	0.6	0.4090909090909091	0.008344923504867872	0.017716535433070866	0	0	0
8	0.5	0.2	0.0107095046854083	0.012797074954296161	0	0	0
9	0.6111111111111112	0.2608695652173913	0.014304291287386216	0.011516314779270634	0	0	0
