k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.711864406779661	0.49557522123893805	0.12034383954154727	0.1702127659574468	507	354	70
1	0.6477272727272727	0.5360824742268041	0.1743119266055046	0.14772727272727273	488	358	73
2	0.7111111111111111	0.5	0.1933534743202417	0.18018018018018017	498	351	85
3	0.5121951219512195	0.6349206349206349	0.14	0.22099447513812154	507	339	82
4	0.5576923076923077	0.5182926829268293	0.0914826498422713	0.22020725388601037	524	358	70
5	0.5081967213114754	0.453781512605042	0.09841269841269841	0.17307692307692307	504	304	68
6	0.6666666666666666	0.6391752577319587	0.16842105263157894	0.19682539682539682	489	291	70
7	0.68	0.5769230769230769	0.10625	0.12968299711815562	472	347	79
8	0.4782608695652174	0.45588235294117646	0.09705882352941177	0.16986301369863013	516	383	87
9	0.75	0.41836734693877553	0.13861386138613863	0.12023460410557185	476	346	71
