k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.8885017421602788	0.6956521739130435	0.6640625	0.23430962343096234	1118	417	41
1	0.875	0.8055555555555556	0.6070460704607046	0.23577235772357724	1058	434	53
2	0.8874458874458875	0.7980769230769231	0.5734265734265734	0.1690427698574338	1101	401	66
3	0.8590225563909775	0.8264462809917356	0.6473087818696884	0.186219739292365	1090	444	48
4	0.8706365503080082	0.8074534161490683	0.6171761280931587	0.241635687732342	1068	424	49
5	0.8779443254817987	0.7851851851851852	0.5899280575539568	0.23820224719101124	1023	407	51
6	0.8704103671706264	0.8155339805825242	0.5909090909090909	0.17758985200845667	1025	394	38
7	0.8649789029535865	0.7697841726618705	0.5890804597701149	0.2165991902834008	1019	405	53
8	0.8665377176015474	0.7559523809523809	0.6230876216968011	0.24053030303030304	1035	496	56
9	0.8810483870967742	0.734375	0.5961800818553888	0.18467583497053044	1094	423	42
