k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.8762135922330098	0.6627906976744186	0.4706649282920469	0.1192468619246862	1118	417	41
1	0.8845070422535212	0.8135593220338984	0.4266304347826087	0.0975609756097561	1058	434	53
2	0.8726114649681529	0.8082191780821918	0.3853727144866385	0.12016293279022404	1101	401	66
3	0.8435754189944135	0.8852459016393442	0.43081312410841655	0.1005586592178771	1090	444	48
4	0.8683385579937304	0.7777777777777778	0.4043795620437956	0.14312267657992564	1068	424	49
5	0.872093023255814	0.801980198019802	0.43541364296081275	0.18202247191011237	1023	407	51
6	0.865546218487395	0.88	0.45374449339207046	0.09302325581395349	1025	394	38
7	0.8333333333333334	0.8	0.36796536796536794	0.13765182186234817	1019	405	53
8	0.8463768115942029	0.7849462365591398	0.4072524407252441	0.13825757575757575	1035	496	56
9	0.8592375366568915	0.7692307692307693	0.4008207934336525	0.11787819253438114	1094	423	42
