k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.5476190476190477	0.3150684931506849	0.02929936305732484	0.046370967741935484	0	0	0
1	0.5272727272727272	0.32	0.0377113133940182	0.047337278106508875	0	0	0
2	0.48148148148148145	0.375	0.0348993288590604	0.04743083003952569	0	0	0
3	0.4807692307692308	0.3283582089552239	0.03429355281207133	0.039568345323741004	0	0	0
4	0.52	0.38961038961038963	0.03581267217630854	0.05385996409335727	0	0	0
5	0.5535714285714286	0.3176470588235294	0.04252400548696845	0.05818965517241379	0	0	0
6	0.48936170212765956	0.24358974358974358	0.03234880450070324	0.03917525773195876	0	0	0
7	0.576271186440678	0.35064935064935066	0.047156726768377254	0.0531496062992126	0	0	0
8	0.40816326530612246	0.26136363636363635	0.026737967914438502	0.04204753199268738	0	0	0
9	0.48936170212765956	0.3563218390804598	0.02990897269180754	0.05950095969289827	0	0	0
