k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.6982758620689655	0.5095238095238095	0.23011363636363635	0.3252279635258359	507	354	70
1	0.6608695652173913	0.5333333333333333	0.23100303951367782	0.2727272727272727	488	358	73
2	0.6782608695652174	0.49404761904761907	0.23493975903614459	0.24924924924924924	498	351	85
3	0.4805194805194805	0.6319018404907976	0.12333333333333334	0.2845303867403315	507	339	82
4	0.625	0.5088495575221239	0.17350157728706625	0.2979274611398964	524	358	70
5	0.5063291139240507	0.46629213483146065	0.12698412698412698	0.266025641025641	504	304	68
6	0.6296296296296297	0.546875	0.17894736842105263	0.3333333333333333	489	291	70
7	0.5932203389830508	0.59375	0.21671826625386997	0.2737752161383285	472	347	79
8	0.5531914893617021	0.5210084033613446	0.15204678362573099	0.33972602739726027	516	383	87
9	0.6923076923076923	0.5380116959064327	0.17763157894736842	0.2697947214076246	476	346	71
