k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9172413793103448	0.8307692307692308	0.17804551539491298	0.11663066954643629	971	497	59
1	0.8653846153846154	0.922077922077922	0.18776077885952713	0.14699792960662525	981	469	63
2	0.8970588235294118	0.8076923076923077	0.17579250720461095	0.13097713097713098	990	459	77
3	0.8711656441717791	0.8160919540229885	0.20520231213872833	0.1378640776699029	985	496	62
4	0.9090909090909091	0.8571428571428571	0.22189349112426035	0.12667946257197696	964	482	57
5	0.9137931034482759	0.8493150684931506	0.15657311669128507	0.1445221445221445	938	443	70
6	0.937888198757764	0.7948717948717948	0.2277526395173454	0.06813186813186813	921	450	53
7	0.875	0.9090909090909091	0.16470588235294117	0.12448132780082988	935	440	66
8	0.9365079365079365	0.8533333333333334	0.16809116809116809	0.12475633528265107	943	535	71
9	0.9137055837563451	0.9078947368421053	0.24930747922437674	0.1411042944785276	953	510	55
