k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.5238095238095238	0.2982456140350877	0.0561941251596424	0.06854838709677419	0	0	0
1	0.589041095890411	0.4	0.055771725032425425	0.07495069033530571	0	0	0
2	0.494949494949495	0.3076923076923077	0.06577181208053691	0.07114624505928854	0	0	0
3	0.5578947368421052	0.3119266055045872	0.07250341997264022	0.06115107913669065	0	0	0
4	0.45652173913043476	0.4015151515151515	0.0577716643741403	0.09515260323159784	0	0	0
5	0.5135135135135135	0.2903225806451613	0.052269601100412656	0.07758620689655173	0	0	0
6	0.5147058823529411	0.3826086956521739	0.04922644163150492	0.09072164948453608	0	0	0
7	0.5074626865671642	0.3220338983050847	0.047156726768377254	0.07480314960629922	0	0	0
8	0.5056179775280899	0.3113207547169811	0.06008010680907877	0.0603290676416819	0	0	0
9	0.4772727272727273	0.3113207547169811	0.054333764553686936	0.06333973128598848	0	0	0
