k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.5	0.3023255813953488	0.01532567049808429	0.02620967741935484	0	0	0
1	0.6666666666666666	0.3333333333333333	0.01556420233463035	0.029585798816568046	0	0	0
2	0.5217391304347826	0.36363636363636365	0.016172506738544475	0.039525691699604744	0	0	0
3	0.5185185185185185	0.22388059701492538	0.019230769230769232	0.02697841726618705	0	0	0
4	0.35714285714285715	0.34	0.013774104683195593	0.03052064631956912	0	0	0
5	0.4444444444444444	0.31746031746031744	0.011034482758620689	0.04310344827586207	0	0	0
6	0.5	0.3125	0.014104372355430184	0.030927835051546393	0	0	0
7	0.4375	0.34210526315789475	0.009735744089012517	0.025590551181102362	0	0	0
8	0.5161290322580645	0.36585365853658536	0.02130492676431425	0.027422303473491772	0	0	0
9	0.4583333333333333	0.21666666666666667	0.014322916666666666	0.02495201535508637	0	0	0
