k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.8841870824053452	0.6842105263157895	0.5169270833333334	0.16317991631799164	1118	417	41
1	0.8875598086124402	0.8493150684931506	0.502710027100271	0.12601626016260162	1058	434	53
2	0.8777506112469438	0.8026315789473685	0.5028011204481793	0.12423625254582485	1101	401	66
3	0.8673913043478261	0.8955223880597015	0.5683760683760684	0.11173184357541899	1090	444	48
4	0.8651162790697674	0.7821782178217822	0.5422740524781341	0.14684014869888476	1068	424	49
5	0.8802816901408451	0.7980769230769231	0.5426917510853835	0.18651685393258427	1023	407	51
6	0.865296803652968	0.8214285714285714	0.5557184750733137	0.09725158562367865	1025	394	38
7	0.8579088471849866	0.7865168539325843	0.460431654676259	0.1417004048582996	1019	405	53
8	0.8616071428571429	0.7959183673469388	0.5376044568245125	0.14772727272727273	1035	496	56
9	0.8802660753880266	0.7676767676767676	0.5430916552667578	0.14931237721021612	1094	423	42
