k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.6767676767676768	0.4972972972972973	0.1903409090909091	0.2796352583586626	507	354	70
1	0.6637931034482759	0.532258064516129	0.23404255319148937	0.1875	488	358	73
2	0.6979166666666666	0.4965986394557823	0.20180722891566266	0.21921921921921922	498	351	85
3	0.5121951219512195	0.6375838926174496	0.14	0.26243093922651933	507	339	82
4	0.6388888888888888	0.5129533678756477	0.14511041009463724	0.25647668393782386	524	358	70
5	0.5194805194805194	0.475177304964539	0.12698412698412698	0.21474358974358973	504	304	68
6	0.620253164556962	0.5670731707317073	0.17192982456140352	0.29523809523809524	489	291	70
7	0.6351351351351351	0.5555555555555556	0.14641744548286603	0.1729106628242075	472	347	79
8	0.5368421052631579	0.47878787878787876	0.14912280701754385	0.21643835616438356	516	383	87
9	0.704225352112676	0.5104895104895105	0.16447368421052633	0.21407624633431085	476	346	71
