k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.6666666666666666	0.6923076923076923	0.005797101449275362	0.02735562310030395	507	354	70
1	0.65	0.7	0.03987730061349693	0.019886363636363636	488	358	73
2	0.6666666666666666	0.6111111111111112	0.0061162079510703364	0.03303303303303303	498	351	85
3	0.0	0.3	0.0	0.008287292817679558	507	339	82
4	0.5	0.9166666666666666	0.006309148264984227	0.02849740932642487	524	358	70
5	0.5	0.7333333333333333	0.00641025641025641	0.035256410256410256	504	304	68
6	0.5	0.7692307692307693	0.007042253521126761	0.06349206349206349	489	291	70
7	1.0	0.75	0.0219435736677116	0.0345821325648415	472	347	79
8	0.0	0.6842105263157895	0.0	0.03561643835616438	516	383	87
9	0.6	0.5714285714285714	0.019801980198019802	0.02346041055718475	476	346	71
