k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.45588235294117646	0.21568627450980393	0.03959131545338442	0.04435483870967742	0	0	0
1	0.4909090909090909	0.35	0.035110533159947985	0.06903353057199212	0	0	0
2	0.36619718309859156	0.2903225806451613	0.034993270524899055	0.0533596837944664	0	0	0
3	0.49382716049382713	0.28125	0.0547945205479452	0.048561151079136694	0	0	0
4	0.5294117647058824	0.3564356435643564	0.04951856946354883	0.06463195691202872	0	0	0
5	0.71875	0.38144329896907214	0.06336088154269973	0.07974137931034483	0	0	0
6	0.5217391304347826	0.27710843373493976	0.05056179775280899	0.04742268041237113	0	0	0
7	0.4482758620689655	0.32926829268292684	0.03611111111111111	0.0531496062992126	0	0	0
8	0.47761194029850745	0.34579439252336447	0.0428380187416332	0.06764168190127971	0	0	0
9	0.5396825396825397	0.3783783783783784	0.044270833333333336	0.08061420345489444	0	0	0
