k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9323671497584541	0.8461538461538461	0.5167336010709505	0.3563714902807775	971	497	59
1	0.9080962800875274	0.8316831683168316	0.5763888888888888	0.34782608695652173	981	469	63
2	0.9204545454545454	0.8342857142857143	0.5835734870317003	0.30353430353430355	990	459	77
3	0.9172749391727494	0.8260869565217391	0.5440115440115441	0.36893203883495146	985	496	62
4	0.9158163265306123	0.8307692307692308	0.5279411764705882	0.4145873320537428	964	482	57
5	0.9306666666666666	0.8176795580110497	0.513235294117647	0.34498834498834496	938	443	70
6	0.9315789473684211	0.7897196261682243	0.5323308270676692	0.37142857142857144	921	450	53
7	0.9093264248704663	0.8398058252427184	0.5154185022026432	0.35892116182572614	935	440	66
8	0.9100642398286938	0.8238341968911918	0.6028368794326241	0.30994152046783624	943	535	71
9	0.933649289099526	0.83	0.5426997245179064	0.3394683026584867	953	510	55
