k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9313186813186813	0.8493975903614458	0.4538152610441767	0.3045356371490281	971	497	59
1	0.9075829383886256	0.8805031446540881	0.5319444444444444	0.2898550724637681	981	469	63
2	0.9095744680851063	0.8111888111888111	0.49279538904899134	0.24116424116424118	990	459	77
3	0.9134860050890585	0.8207547169811321	0.5180375180375181	0.3378640776699029	985	496	62
4	0.9131652661064426	0.8369565217391305	0.4801178203240059	0.29558541266794625	964	482	57
5	0.9265536723163842	0.8343949044585988	0.4823529411764706	0.30536130536130535	938	443	70
6	0.9316770186335404	0.8	0.45112781954887216	0.29010989010989013	921	450	53
7	0.907185628742515	0.8491620111731844	0.44493392070484583	0.3153526970954357	935	440	66
8	0.9226666666666666	0.6714285714285714	0.4907801418439716	0.27485380116959063	943	535	71
9	0.938953488372093	0.8424242424242424	0.44490358126721763	0.2842535787321063	953	510	55
