k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9313725490196079	0.8230088495575221	0.3815261044176707	0.20086393088552915	971	497	59
1	0.9003436426116839	0.8863636363636364	0.3638888888888889	0.2422360248447205	981	469	63
2	0.92	0.8230088495575221	0.3976945244956772	0.19334719334719336	990	459	77
3	0.9033232628398792	0.8014705882352942	0.4314574314574315	0.21165048543689322	985	496	62
4	0.9311594202898551	0.664804469273743	0.3784977908689249	0.22840690978886757	964	482	57
5	0.9083665338645418	0.8394160583941606	0.3352941176470588	0.2680652680652681	938	443	70
6	0.9324324324324325	0.7916666666666666	0.4150375939849624	0.16703296703296702	921	450	53
7	0.9068100358422939	0.8899082568807339	0.37151248164464024	0.2012448132780083	935	440	66
8	0.9294871794871795	0.6464088397790055	0.4119318181818182	0.22807017543859648	943	535	71
9	0.9384057971014492	0.8461538461538461	0.35724137931034483	0.2249488752556237	953	510	55
