k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.884493670886076	0.7076271186440678	0.7259740259740259	0.3493723849372385	1118	417	41
1	0.8816254416961131	0.7951807228915663	0.6752368064952639	0.4024390243902439	1058	434	53
2	0.8899253731343284	0.7706422018348624	0.6652719665271967	0.3421588594704684	1101	401	66
3	0.8673647469458988	0.8037383177570093	0.7039660056657224	0.3202979515828678	1090	444	48
4	0.8655616942909761	0.8192307692307692	0.6811594202898551	0.395910780669145	1068	424	49
5	0.8726235741444867	0.8068669527896996	0.660431654676259	0.42247191011235957	1023	407	51
6	0.8775894538606404	0.813953488372093	0.6822840409956076	0.3699788583509514	1025	394	38
7	0.8654205607476636	0.7166666666666667	0.6623748211731044	0.3481781376518219	1019	405	53
8	0.8615916955017301	0.7686274509803922	0.6897506925207756	0.3712121212121212	1035	496	56
9	0.8716216216216216	0.7309236947791165	0.6991869918699187	0.3575638506876228	1094	423	42
