k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.8896210873146623	0.680952380952381	0.7012987012987013	0.29916317991631797	1118	417	41
1	0.8781818181818182	0.8144329896907216	0.6535859269282814	0.32113821138211385	1058	434	53
2	0.8914728682170543	0.7712418300653595	0.6415620641562064	0.24032586558044808	1101	401	66
3	0.8652482269503546	0.8222222222222222	0.6912181303116147	0.2756052141527002	1090	444	48
4	0.8723809523809524	0.8048780487804879	0.663768115942029	0.3066914498141264	1068	424	49
5	0.878727634194831	0.8	0.6359712230215827	0.3235955056179775	1023	407	51
6	0.8764705882352941	0.8322147651006712	0.6544655929721815	0.26215644820295986	1025	394	38
7	0.8697318007662835	0.751219512195122	0.6485714285714286	0.3117408906882591	1019	405	53
8	0.8621908127208481	0.7706422018348624	0.6759002770083102	0.3181818181818182	1035	496	56
9	0.8688811188811189	0.7246376811594203	0.6734417344173442	0.29469548133595286	1094	423	42
