fêter	4
pincer	13
prétendre	1
consommer	2
frapper	2
freiner	3
oublier	49
réfugier	1
gonfler	3
fier	1
créer	1
masquer	1
applaudir	9
enrouler	1
croquer	12
écrire	75
balader	3
imiter	2
langer	1
partir	144
oser	5
troubler	1
refaire	56
partager	4
battre	6
rapporter	2
racler	1
décider	12
couper	44
bousculer	1
sortir	188
prendre+prendre	13
travailler	28
transformer	4
trouver	356
agir+réagir	2
cracher	8
monter	83
mettre	1726
remarque	13
apercevoir	2
lever	41
protéger	10
picorer	3
accompagner	3
placer+replacer	6
coudre	2
aider	135
raconter	87
aspirer	6
appeler	367
traverser	4
rentrer	91
tirer	43
grignoter	4
filer	3
copier	1
arriver	224
transporter	25
déménager	7
pousser	61
garder	1945
intéresser	31
choisir	29
lire	133
prêter	14
vexer	2
coiffer+recoiffer	1
aimer	216
disputer	7
soulever	17
actionner	2
bondir	1
galoper	1
arroser	4
tendre	4
plier+replier	2
savoir	772
ressembler	67
tousser	16
vider	13
affoler	2
scier	1
confirmer	3
demander	50
consterner	1
rembobiner	1
buter	2
miser	1
asseoir	171
balayer	8
sombrer	5
ramasser	57
remarquer	1
apporter	53
mener	2
servir+servir	7
lis	13
compter	24
suivre+suivre	1
boire	122
bouger	28
incliner	1
tordre	2
pondre	41
vanner	1
comprendre+comprendre	1
croire+croître	2
emporter	4
lancer	19
bouchonner	1
examiner	2
assortir	1
persévérer	1
coucher	33
coller+recoller	10
former	12
dîner	3
attaquer	2
falloir	1092
construire+construire+reconstruire+reconstruire	1
exciter	4
lire+lire	35
interdire	2
éclipser	1
devoir	175
garer	7
déclarer	1
attacher	6
décoiffer	1
peindre+peindre	1
comprendre	104
déplier	3
aborder	2
circuler	1
permettre	4
nettoyer	30
éclabousser	5
étaler	4
équilibrer	1
chavirer	2
débuter	1
tenir	589
éclore	1
gratte	14
singer	2
confondre	3
suspendre	1
préconiser	1
rassembler	4
gonfler+regonfler	2
sonner	12
effacer	25
écrit	12
vautrer	1
attabler	1
déposer	2
carotter	1
râler	1
entourer	6
échapper	3
apaiser	1
taire	5
peler	4
marcher	144
exclamer	2
rêver	4
brosser	8
mouiller	14
mettre+miter	1
rôder	1
tomber	272
joindre+rejoindre	4
voir+revoir	9
scotcher	1
rembourser	1
faner	1
enfermer	2
obtenir	1
rire	18
batailler	1
touiller	1
taper	36
attirer	5
emmener	35
claquer	5
péter+répéter	4
poivrer	1
remercier	5
téléphoner	15
citer+réciter	1
tombe	27
plonger	6
mourir	3
essayer	316
préciser	2
endormi	14
jeter	66
conduire+conduire	1
prévoir	2
vernir	3
embêter	14
cuire+cuire	1
aboyer	1
craindre+craindre	2
cascader	1
démarrer	4
basculer	1
jouir+réjouir	1
dater	2
défaire	20
boiter	51
beurrer	5
peindre	13
rendre+rendre	1
décoller	6
devenir	12
flotter	2
démolir	2
connaître+connaître	1
écarter	5
régurgiter	1
sourire	12
participer	1
patauger	2
déplacer	10
grandir	12
faire	4118
cogner	13
respecter	1
arracher	19
ennuyer	6
frotter	19
ranger	253
enregistrer	44
décrocher	6
rasseoir	1
pécher	1
agripper	3
plaire	71
fonctionner	7
contorsionner	1
scruter	1
dépasser	15
klaxonner	6
charger	4
tonner	1
distraire+distraire	1
chambrer	1
maintenir	1
porter	37
montrer	154
envoyer	10
consister	2
être	245
deviner	4
dégonfler	1
voler	28
lasser	1
déjeûner	2
viser+réviser	2
emballer	4
déborder	6
lever+relever	4
établir	3
danser	15
tartiner	3
espacer	1
foutre	4
dépêcher	11
faillir	4
étayer	12
emprunter	1
tenir+retenir	14
poser	63
rouler	61
ballader	2
expliquer	36
ouïr	1
neiger	1
fermer	85
gommer	5
prendre	574
déchirer	22
débrouiller	8
vendre	11
attrappe	1
marrer	1
faciliter	1
conserver	1
lécher	11
sauver	15
prouver	1
boire+boire	3
diriger	3
désoler	6
imaginer	5
défouler	2
atteindre	1
superposer	1
servir	102
enrhumer	13
revenir	83
enfoncer	9
gêner	2
dynamiser	1
énerver	24
souvenir	49
concevoir	4
croustiller	1
courir+courir	1
moquer	3
oeuvrer	1
pencher	2
dire+redire	1
assembler	1
glousser	1
perdre	27
friser	1
colorier	41
vouloir	1920
canner	2
impressionner	2
chanter	110
coincer	48
prévenir	1
gratter	21
féliciter	1
peigner	2
promettre	1
sentir	52
promener	34
dérailler	3
inviter	1
prendre+surprendre	1
disparaître	5
installer	32
piocher	1
mordre	3
gaspiller	1
murmurer	1
décourager	1
cru	7
livrer	7
empêcher	9
empiler	1
précipiter	2
chiffone	3
étonner	9
manger	500
envoler	12
tripoter	2
descendre	62
apparaître	2
gargouiller	1
ramener	23
arrète	5
délimiter	1
déshabiller	5
éloigner	1
préférer	40
salir	10
tortiller	2
gicler	2
tourner	348
enfuir	4
bouler	2
dévisser	5
croiser	6
coiffer	8
interroger	1
mouliner	1
meugler	5
hululer	6
sembler	21
suffire	24
épater	3
payer	15
doucher	1
exagérer	3
sauter+sursauter	1
tasser	5
renifler	3
parler	161
foncer	3
ausculter	1
boucher	10
griffer	6
habiller	15
tromper	13
piquer	32
siffler	5
filmer	23
tacher	2
défriser	1
avancer	14
agrandir	2
vérifier	4
couler	25
encombrer	1
parfaire	7
habiter	24
pocher	1
pose	31
informer	1
cuber	1
déchausser	1
écouter	82
provoquer	1
marier	1
barrer	1
comporter	1
voiler	52
avouer	2
admirer	1
compter+recompter	5
observer	5
connait	3
soupirer	4
renverser	36
zébrer	1
blesser	9
planter	16
incorporer	1
inquiéter	4
unir+réunir	1
hésiter	1
enlever	252
caresser	8
gouter	2
courir	13
amortir	1
